SEGMENT: 1,SCENARIO:  HEFT-W of 57th,
SEGMENT: 5,SCENARIO:  S of 88th St,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GU,GU,XL,XL,CORRIDOR,XL,XL,GU,GU,XL,XL,GU,GU,XL,XL,XL,XL
DIRECTION,NB,SB,NB,SB,TOTAL,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB
  1:   ,    615,    720,     25,     25,   1385,    3.9,    3.4,   0.10,   0.12,   0.01,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  2:   ,    313,    420,     13,     15,    761,    3.9,    3.4,   0.05,   0.07,   0.00,   0.00,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  3:   ,    237,    304,     10,     11,    561,    3.9,    3.4,   0.04,   0.05,   0.00,   0.00,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  4:   ,    328,    390,     13,     14,    745,    3.9,    3.4,   0.06,   0.07,   0.00,   0.00,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  5:   ,    677,    583,     27,     21,   1308,    3.9,    3.4,   0.11,   0.10,   0.01,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  6:   ,   1819,   1517,     74,     53,   3462,    3.9,    3.4,   0.31,   0.25,   0.02,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  7:   ,   4731,   5098,    252,    343,  10425,    5.1,    6.3,   0.79,   0.86,   0.06,   0.08,   64.8,   64.4,   70.0,   70.0,   0.19,   0.19
  8:   ,   5506,   3286,   2544,    245,  11581,   31.6,    6.9,   0.92,   0.55,   0.62,   0.06,   48.6,   64.9,   69.9,   70.0,   0.20,   0.19
  9:   ,   5734,   3551,   2749,    280,  12314,   32.4,    7.3,   0.96,   0.60,   0.67,   0.07,   35.6,   64.9,   69.8,   70.0,   0.20,   0.19
 10:   ,   4954,   2658,   1408,    172,   9191,   22.1,    6.1,   0.83,   0.45,   0.34,   0.04,   64.6,   65.0,   70.0,   70.0,   0.19,   0.19
 11:   ,   4128,   5284,    267,    801,  10480,    6.1,   13.2,   0.69,   0.89,   0.07,   0.20,   64.9,   63.2,   70.0,   70.0,   0.19,   0.19
 12:   ,   3998,   4620,    256,    346,   9220,    6.0,    7.0,   0.67,   0.78,   0.06,   0.08,   64.9,   64.8,   70.0,   70.0,   0.19,   0.19
 13:   ,   4146,   4666,    268,    364,   9444,    6.1,    7.2,   0.70,   0.78,   0.07,   0.09,   64.9,   64.8,   70.0,   70.0,   0.19,   0.19
 14:   ,   4368,   4817,    293,    436,   9914,    6.3,    8.3,   0.73,   0.81,   0.07,   0.11,   64.9,   64.7,   70.0,   70.0,   0.19,   0.19
 15:   ,   4798,   5016,    438,    560,  10811,    8.4,   10.0,   0.81,   0.84,   0.11,   0.14,   64.7,   64.5,   70.0,   70.0,   0.19,   0.19
 16:   ,   5182,   5436,   1057,   1536,  13211,   16.9,   22.0,   0.87,   0.91,   0.26,   0.37,   64.1,   54.4,   70.0,   70.0,   0.19,   0.19
 17:   ,   4610,   5158,    403,   1861,  12032,    8.0,   26.5,   0.77,   0.87,   0.10,   0.45,   64.8,   64.2,   70.0,   69.9,   0.19,   0.19
 18:   ,   5187,   5622,    736,   2666,  14211,   12.4,   32.2,   0.87,   0.94,   0.18,   0.65,   64.1,   41.1,   70.0,   69.9,   0.19,   0.20
 19:   ,   4450,   5567,    160,   1788,  11965,    3.5,   24.3,   0.75,   0.93,   0.04,   0.44,   64.8,   44.4,   70.0,   69.9,   0.19,   0.19
 20:   ,   4450,   4879,    202,    265,   9796,    4.3,    5.2,   0.75,   0.82,   0.05,   0.06,   64.8,   64.7,   70.0,   70.0,   0.19,   0.19
 21:   ,   3154,   3076,    130,    110,   6469,    3.9,    3.5,   0.53,   0.52,   0.03,   0.03,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 22:   ,   2478,   2414,    101,     85,   5078,    3.9,    3.4,   0.42,   0.41,   0.02,   0.02,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 23:   ,   2009,   2060,     81,     73,   4223,    3.9,    3.4,   0.34,   0.35,   0.02,   0.02,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 24:   ,   1156,   1409,     47,     50,   2662,    3.9,    3.4,   0.19,   0.24,   0.01,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
TOTAL:,  79025,  78551,  11553,  12119, 181249,   12.8,   13.4,

TOTAL GU CORRIDOR:,  157576
TOTAL XL CORRIDOR:,   23672
TOTAL CORRIDOR:,  181249,

PULL LINK
XL NB A NODE:,   92046
XL NB B NODE:,   92047
XL SB A NODE:,   92029
XL SB B NODE:,   92030
GU NB A NODE:,   23923
GU NB B NODE:,   25209
GU SB A NODE:,   25204
GU SB B NODE:,   23921

SEGMENT: 6,SCENARIO:  S of Coral Reef,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GU,GU,XL,XL,CORRIDOR,XL,XL,GU,GU,XL,XL,GU,GU,XL,XL,XL,XL
DIRECTION,NB,SB,NB,SB,TOTAL,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB
  1:   ,    916,   1055,     27,     30,   2030,    2.9,    2.8,   0.09,   0.10,   0.01,   0.02,   65.2,   65.8,   70.0,   70.0,   0.19,   0.19
  2:   ,    467,    616,     14,     18,   1115,    2.9,    2.8,   0.05,   0.06,   0.01,   0.01,   65.2,   65.8,   70.0,   70.0,   0.19,   0.19
  3:   ,    353,    446,     11,     13,    822,    2.9,    2.8,   0.03,   0.04,   0.01,   0.01,   65.2,   65.8,   70.0,   70.0,   0.19,   0.19
  4:   ,    488,    571,     15,     16,   1091,    2.9,    2.8,   0.05,   0.06,   0.01,   0.01,   65.2,   65.8,   70.0,   70.0,   0.19,   0.19
  5:   ,   1009,    855,     30,     24,   1918,    2.9,    2.8,   0.10,   0.08,   0.02,   0.01,   65.2,   65.8,   70.0,   70.0,   0.19,   0.19
  6:   ,   2710,   2224,     81,     64,   5078,    2.9,    2.8,   0.27,   0.22,   0.04,   0.03,   65.2,   65.8,   70.0,   70.0,   0.19,   0.19
  7:   ,   7093,   7592,    257,    335,  15277,    3.5,    4.2,   0.70,   0.75,   0.14,   0.18,   65.2,   65.7,   70.0,   70.0,   0.19,   0.19
  8:   ,  11517,   5231,   1779,    509,  19037,   13.4,    8.9,   1.13,   0.52,   0.96,   0.28,   16.1,   65.7,   37.0,   69.9,   2.88,   0.19
  9:   ,  12200,   5657,   1810,    572,  20240,   12.9,    9.2,   1.20,   0.56,   0.98,   0.31,   13.2,   65.7,   33.0,   69.9,   3.67,   0.19
 10:   ,   9014,   4215,   1493,    386,  15108,   14.2,    8.4,   0.89,   0.42,   0.81,   0.21,   64.0,   65.8,   69.0,   70.0,   0.39,   0.19
 11:   ,   6083,   8037,    399,    827,  15347,    6.2,    9.3,   0.60,   0.79,   0.22,   0.45,   65.2,   65.6,   70.0,   69.9,   0.19,   0.19
 12:   ,   5891,   6747,    384,    486,  13508,    6.1,    6.7,   0.58,   0.66,   0.21,   0.26,   65.2,   65.7,   70.0,   69.9,   0.19,   0.19
 13:   ,   6109,   6825,    402,    501,  13837,    6.2,    6.8,   0.60,   0.67,   0.22,   0.27,   65.2,   65.7,   70.0,   69.9,   0.19,   0.19
 14:   ,   6442,   7096,    432,    556,  14526,    6.3,    7.3,   0.63,   0.70,   0.23,   0.30,   65.2,   65.7,   69.9,   69.9,   0.19,   0.19
 15:   ,   7165,   7471,    557,    651,  15844,    7.2,    8.0,   0.71,   0.74,   0.30,   0.35,   65.2,   65.7,   69.9,   69.9,   0.19,   0.19
 16:   ,   7931,   8669,   1271,   1486,  19358,   13.8,   14.6,   0.78,   0.85,   0.69,   0.80,   65.1,   65.4,   69.6,   69.0,   0.21,   0.37
 17:   ,   6658,   9270,    805,   1615,  18347,   10.8,   14.8,   0.66,   0.91,   0.43,   0.87,   65.2,   55.1,   69.9,   66.8,   0.19,   0.82
 18:   ,   7720,  11076,   1098,   1776,  21670,   12.4,   13.8,   0.76,   1.09,   0.59,   0.96,   65.1,   18.7,   69.8,   37.5,   0.19,   2.80
 19:   ,   6644,   9921,    219,   1484,  18268,    3.2,   13.0,   0.65,   0.98,   0.12,   0.80,   65.2,   32.5,   70.0,   69.0,   0.19,   0.37
 20:   ,   6643,   7211,    218,    281,  14354,    3.2,    3.8,   0.65,   0.71,   0.12,   0.15,   65.2,   65.7,   70.0,   70.0,   0.19,   0.19
 21:   ,   4701,   4510,    143,    131,   9484,    2.9,    2.8,   0.46,   0.44,   0.08,   0.07,   65.2,   65.7,   70.0,   70.0,   0.19,   0.19
 22:   ,   3693,   3538,    111,    102,   7444,    2.9,    2.8,   0.36,   0.35,   0.06,   0.05,   65.2,   65.8,   70.0,   70.0,   0.19,   0.19
 23:   ,   2993,   3020,     90,     87,   6190,    2.9,    2.8,   0.29,   0.30,   0.05,   0.05,   65.2,   65.8,   70.0,   70.0,   0.19,   0.19
 24:   ,   1723,   2066,     52,     59,   3899,    2.9,    2.8,   0.17,   0.20,   0.03,   0.03,   65.2,   65.8,   70.0,   70.0,   0.19,   0.19
TOTAL:, 126163, 123920,  11700,  12008, 273791,    8.5,    8.8,

TOTAL GU CORRIDOR:,  250083
TOTAL XL CORRIDOR:,   23708
TOTAL CORRIDOR:,  273791,

PULL LINK
XL NB A NODE:,   92042
XL NB B NODE:,   93048
XL SB A NODE:,   93047
XL SB B NODE:,   92035
GU NB A NODE:,   25861
GU NB B NODE:,   93049
GU SB A NODE:,   93046
GU SB B NODE:,   21744

SEGMENT: 7,SCENARIO:  Homestead Plaza,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GU,GU,XL,XL,CORRIDOR,XL,XL,GU,GU,XL,XL,GU,GU,XL,XL,XL,XL
DIRECTION,NB,SB,NB,SB,TOTAL,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB
  1:   ,    506,    622,     16,     20,   1163,    3.0,    3.1,   0.08,   0.10,   0.01,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  2:   ,    258,    363,      8,     12,    640,    3.0,    3.1,   0.04,   0.06,   0.00,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  3:   ,    195,    263,      6,      8,    472,    3.0,    3.1,   0.03,   0.04,   0.00,   0.00,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  4:   ,    270,    336,      8,     11,    625,    3.0,    3.1,   0.05,   0.06,   0.00,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  5:   ,    557,    504,     17,     16,   1094,    3.0,    3.1,   0.09,   0.08,   0.01,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  6:   ,   1496,   1310,     46,     42,   2893,    3.0,    3.1,   0.25,   0.22,   0.03,   0.02,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  7:   ,   3913,   4468,    148,    215,   8744,    3.6,    4.6,   0.66,   0.75,   0.08,   0.12,   64.9,   64.8,   70.0,   70.0,   0.19,   0.19
  8:   ,   5972,   2451,   1529,    375,  10328,   20.4,   13.3,   1.00,   0.41,   0.83,   0.20,   27.8,   65.0,   68.7,   70.0,   0.47,   0.19
  9:   ,   6282,   2647,   1622,    420,  10971,   20.5,   13.7,   1.05,   0.44,   0.88,   0.23,   21.6,   65.0,   66.4,   69.9,   0.86,   0.19
 10:   ,   4888,   1980,   1040,    285,   8193,   17.5,   12.6,   0.82,   0.33,   0.56,   0.15,   64.7,   65.0,   69.8,   70.0,   0.19,   0.19
 11:   ,   3352,   4702,    229,    535,   8819,    6.4,   10.2,   0.56,   0.79,   0.12,   0.29,   64.9,   64.8,   70.0,   69.9,   0.19,   0.19
 12:   ,   3246,   3958,    220,    315,   7740,    6.4,    7.4,   0.55,   0.66,   0.12,   0.17,   64.9,   64.9,   70.0,   70.0,   0.19,   0.19
 13:   ,   3366,   4004,    231,    324,   7925,    6.4,    7.5,   0.57,   0.67,   0.12,   0.18,   64.9,   64.9,   70.0,   70.0,   0.19,   0.19
 14:   ,   3549,   4163,    249,    358,   8319,    6.5,    7.9,   0.60,   0.70,   0.13,   0.19,   64.9,   64.9,   70.0,   70.0,   0.19,   0.19
 15:   ,   3946,   4379,    320,    419,   9065,    7.5,    8.7,   0.66,   0.74,   0.17,   0.23,   64.9,   64.9,   70.0,   69.9,   0.19,   0.19
 16:   ,   4330,   4989,    754,   1011,  11084,   14.8,   16.8,   0.73,   0.84,   0.41,   0.55,   64.9,   64.6,   69.9,   69.8,   0.19,   0.19
 17:   ,   3659,   5214,    459,   1073,  10406,   11.2,   17.1,   0.61,   0.88,   0.25,   0.58,   64.9,   63.9,   69.9,   69.8,   0.19,   0.19
 18:   ,   4231,   5976,    636,   1447,  12290,   13.1,   19.5,   0.71,   1.00,   0.34,   0.78,   64.9,   27.6,   69.9,   69.2,   0.19,   0.31
 19:   ,   3661,   5607,    127,    981,  10375,    3.3,   14.9,   0.61,   0.94,   0.07,   0.53,   64.9,   41.9,   70.0,   69.8,   0.19,   0.19
 20:   ,   3665,   4247,    125,    180,   8217,    3.3,    4.1,   0.62,   0.71,   0.07,   0.10,   64.9,   64.9,   70.0,   70.0,   0.19,   0.19
 21:   ,   2594,   2656,     81,     86,   5418,    3.0,    3.1,   0.44,   0.45,   0.04,   0.05,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 22:   ,   2038,   2084,     63,     67,   4252,    3.0,    3.1,   0.34,   0.35,   0.03,   0.04,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 23:   ,   1652,   1779,     51,     57,   3539,    3.0,    3.1,   0.28,   0.30,   0.03,   0.03,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 24:   ,    951,   1217,     29,     39,   2236,    3.0,    3.1,   0.16,   0.20,   0.02,   0.02,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
TOTAL:,  68575,  69918,   8018,   8296, 154806,   10.5,   10.6,

TOTAL GU CORRIDOR:,  138493
TOTAL XL CORRIDOR:,   16314
TOTAL CORRIDOR:,  154806,

PULL LINK
XL NB A NODE:,   92146
XL NB B NODE:,   92147
XL SB A NODE:,   92112
XL SB B NODE:,   92113
GU NB A NODE:,   27938
GU NB B NODE:,   27941
GU SB A NODE:,   27942
GU SB B NODE:,   27937

SEGMENT: 8,SCENARIO:  Btwn 137th and Biscayne,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GU,GU,XL,XL,CORRIDOR,XL,XL,GU,GU,XL,XL,GU,GU,XL,XL,XL,XL
DIRECTION,NB,SB,NB,SB,TOTAL,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB
  1:   ,    418,    481,      0,      0,    899,      0,      0,   0.07,   0.08,      0,      0,   65.0,   65.0,   70.0,   70.0,      0,      0
  2:   ,    213,    281,      0,      0,    494,      0,      0,   0.04,   0.05,      0,      0,   65.0,   65.0,   70.0,   70.0,      0,      0
  3:   ,    161,    203,      0,      0,    364,      0,      0,   0.03,   0.03,      0,      0,   65.0,   65.0,   70.0,   70.0,      0,      0
  4:   ,    223,    261,      0,      0,    483,      0,      0,   0.04,   0.04,      0,      0,   65.0,   65.0,   70.0,   70.0,      0,      0
  5:   ,    460,    390,      0,      0,    850,      0,      0,   0.08,   0.07,      0,      0,   65.0,   65.0,   70.0,   70.0,      0,      0
  6:   ,   1237,   1014,      0,      0,   2250,      0,      0,   0.21,   0.17,      0,      0,   65.0,   65.0,   70.0,   70.0,      0,      0
  7:   ,   3257,   3513,      0,      0,   6770,      0,      0,   0.55,   0.59,      0,      0,   64.9,   64.9,   70.0,   70.0,      0,      0
  8:   ,   5415,   2306,      0,      0,   7721,      0,      0,   0.91,   0.39,      0,      0,   56.1,   65.0,   70.0,   70.0,      0,      0
  9:   ,   5706,   2502,      0,      0,   8208,      0,      0,   0.96,   0.42,      0,      0,   36.8,   65.0,   70.0,   70.0,      0,      0
 10:   ,   4280,   1848,      0,      0,   6127,      0,      0,   0.72,   0.31,      0,      0,   64.9,   65.0,   70.0,   70.0,      0,      0
 11:   ,   2872,   3929,      0,      0,   6801,      0,      0,   0.48,   0.66,      0,      0,   65.0,   64.9,   70.0,   70.0,      0,      0
 12:   ,   2780,   3206,      0,      0,   5986,      0,      0,   0.47,   0.54,      0,      0,   65.0,   64.9,   70.0,   70.0,      0,      0
 13:   ,   2885,   3247,      0,      0,   6132,      0,      0,   0.48,   0.55,      0,      0,   65.0,   64.9,   70.0,   70.0,      0,      0
 14:   ,   3046,   3392,      0,      0,   6437,      0,      0,   0.51,   0.57,      0,      0,   65.0,   64.9,   70.0,   70.0,      0,      0
 15:   ,   3421,   3600,      0,      0,   7021,      0,      0,   0.57,   0.60,      0,      0,   64.9,   64.9,   70.0,   70.0,      0,      0
 16:   ,   4077,   4501,      0,      0,   8578,      0,      0,   0.68,   0.76,      0,      0,   64.9,   64.8,   70.0,   70.0,      0,      0
 17:   ,   3246,   4827,      0,      0,   8072,      0,      0,   0.55,   0.81,      0,      0,   64.9,   64.7,   70.0,   70.0,      0,      0
 18:   ,   3835,   5699,      0,      0,   9534,      0,      0,   0.64,   0.96,      0,      0,   64.9,   37.2,   70.0,   70.0,      0,      0
 19:   ,   2985,   5057,      0,      0,   8043,      0,      0,   0.50,   0.85,      0,      0,   65.0,   64.5,   70.0,   70.0,      0,      0
 20:   ,   3040,   3321,      0,      0,   6361,      0,      0,   0.51,   0.56,      0,      0,   65.0,   64.9,   70.0,   70.0,      0,      0
 21:   ,   2146,   2057,      0,      0,   4203,      0,      0,   0.36,   0.35,      0,      0,   65.0,   65.0,   70.0,   70.0,      0,      0
 22:   ,   1685,   1613,      0,      0,   3299,      0,      0,   0.28,   0.27,      0,      0,   65.0,   65.0,   70.0,   70.0,      0,      0
 23:   ,   1366,   1377,      0,      0,   2743,      0,      0,   0.23,   0.23,      0,      0,   65.0,   65.0,   70.0,   70.0,      0,      0
 24:   ,    786,    942,      0,      0,   1728,      0,      0,   0.13,   0.16,      0,      0,   65.0,   65.0,   70.0,   70.0,      0,      0
TOTAL:,  59539,  59568,      0,      0, 119107,      0,      0,

TOTAL GU CORRIDOR:,  119107
TOTAL XL CORRIDOR:,       0
TOTAL CORRIDOR:,  119107,

PULL LINK
XL NB A NODE:,   92133
XL NB B NODE:,   92134
XL SB A NODE:,   92126
XL SB B NODE:,   92127
GU NB A NODE:,   23788
GU NB B NODE:,   26162
GU SB A NODE:,   21539
GU SB B NODE:,   23789
